giniIndex,percentNoWeb,meanHouseholdSize,percentHsEdu,percentBachelorsEdu,perCapitaIncome,uninsuredRate,ueRate,percentArmedForces,percentEnglishOnly,medianAge,percent65andOlder,percentHigherEd,y,x
.38280001,13.336914,2.48,92.400002,36.200001,33410,3.4000001,4.1862769,0,81.25,38.900002,13.7,7.6934705,3.4000001,33410
.3908,16.545895,2.5599999,90.400002,32.5,36927,1.4,4.7796865,0,94.450211,42.200001,16.4,6.2240663,1.4,36927
.333,14.1225,2.78,96.5,34.599998,37825,.1,2.7338409,0,92.337616,41.700001,9.6000004,4.1730518,.1,37825
.49160001,18.539728,2.49,96.699997,45.700001,39866,.2,2.7747552,0,89.839249,42.599998,21.5,2.6387625,.2,39866
.40630001,4.2139382,2.6700001,95.800003,52.5,49307,.89999998,2.4447334,0,87.230698,43.5,14.2,5.3153009,.89999998,49307
.3867,7.0479703,2.75,97.199997,54.299999,43270,2.2,4.6630917,.12522958,89.646957,41.799999,15,7.0327821,2.2,43270
.35229999,12.828602,2.6400001,94.300003,31.9,34752,2.9000001,8.1799593,0,94.963722,43.700001,14.400001,4.5241146,2.9000001,34752
.41190001,8.1517353,2.8199999,96.199997,51.099998,44718,1.6,4.6052632,.40665436,88.577522,41.200001,18.1,4.8431311,1.6,44718
.3908,8.1959915,2.8399999,86.800003,36.400002,35322,2.2,4.8688126,0,88.985466,38.400002,14.8,6.464756,2.2,35322
.45359999,19.175972,2.4300001,90.099998,27.799999,34311,4.0999999,4.4488878,0,92.922127,45.400002,16.9,12.30532,4.0999999,34311
.38850001,0,2.4100001,74.800003,49,25773,0,14.728683,0,82.872925,36.5,5.3000002,0,0,25773
.43509999,15.178236,2.51,91.699997,31.299999,37951,2.2,6.1616163,.071716718,92.120926,43.200001,18,6.9235587,2.2,37951
.3928,10.276339,2.79,89.900002,28.299999,37644,1.3,4.4210525,.19623233,93.66925,41.799999,10.2,4.102067,1.3,37644
.40360001,13.411765,2.9300001,91.699997,33.599998,37371,1.7,5.970149,0,96.613037,46.799999,12.3,3.3022861,1.7,37371
